Kota - Desa,,,,,,,,,,
,[Provinsi] Kemiskinan,,,,,,,,,
,Garis Kemiskinan,,Indeks Keparahan Keminskinan,,Indeks Kedalaman Kemiskinan,,Persentase Kemiskinan (persen),,Jumlah Penduduk Miskin (ribu),
,2023,,2023,,2023,,2023,,2023,
,Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September)
Perkotaan,610614,-,0.27,-,1.21,-,8.02,-,232.96,-
Pedesaan,534575,-,0.4,-,1.85,-,12.65,-,737.71,-
Pedesaan + Perkotaan,559011,-,0.36,-,1.64,-,11.11,-,970.67,-
