Kota - Desa,,,,,,,,,,
,[Provinsi] Kemiskinan,,,,,,,,,
,Garis Kemiskinan,,Indeks Keparahan Keminskinan,,Indeks Kedalaman Kemiskinan,,Persentase Kemiskinan (persen),,Jumlah Penduduk Miskin (ribu),
,2020,,2020,,2020,,2020,,2020,
,Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September)
Perkotaan,500720,504330,0.24,0.29,1.23,1.31,9.02,9.59,237.1,259.28
Pedesaan,433843,437107,0.49,0.7,2.2,2.48,13.83,14.22,812.22,831.86
Pedesaan + Perkotaan,453733,457495,0.41,0.57,1.9,2.11,12.34,12.76,1049.32,1091.14
