Kota - Desa,,,,,,,,,,
,[Provinsi] Kemiskinan,,,,,,,,,
,Garis Kemiskinan,,Indeks Keparahan Keminskinan,,Indeks Kedalaman Kemiskinan,,Persentase Kemiskinan (persen),,Jumlah Penduduk Miskin (ribu),
,2025,,2025,,2025,,2025,,2025,
,Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September)
Perkotaan,659660,-,0.16,-,0.87,-,7.49,-,229.16,-
Pedesaan,588958,-,0.44,-,1.89,-,11.32,-,657.85,-
Pedesaan + Perkotaan,612451,-,0.34,-,1.54,-,10,-,887.02,-
