Kota - Desa,,,,,,,,,,
,[Provinsi] Kemiskinan,,,,,,,,,
,Garis Kemiskinan,,Indeks Keparahan Keminskinan,,Indeks Kedalaman Kemiskinan,,Persentase Kemiskinan (persen),,Jumlah Penduduk Miskin (ribu),
,2022,,2022,,2022,,2022,,2022,
,Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September)
Perkotaan,560467,595992,0.27,0.37,1.23,1.33,8.31,8.34,234.78,239.11
Pedesaan,492623,523159,0.48,0.39,2.1,1.88,13.14,12.96,767.63,756.48
Pedesaan + Perkotaan,514039,545992,0.41,0.39,1.82,1.7,11.57,11.44,1002.41,995.59
