Kota - Desa,,,,,,,,,,
,[Provinsi] Kemiskinan,,,,,,,,,
,Garis Kemiskinan,,Indeks Keparahan Keminskinan,,Indeks Kedalaman Kemiskinan,,Persentase Kemiskinan (persen),,Jumlah Penduduk Miskin (ribu),
,2021,,2021,,2021,,2021,,2021,
,Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September),Semester 1 (Maret),Semester 2 (September)
Perkotaan,516003,535133,0.26,0.24,1.27,1.25,9.29,8.5,254.6,236.48
Pedesaan,451211,472918,0.49,0.45,2.17,2.13,14.18,13.18,829.33,770.54
Pedesaan + Perkotaan,471439,492620,0.42,0.38,1.88,1.85,12.62,11.67,1083.93,1007.02
